"filename", "language", "YAML", "XML", "Dart", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/dog_pal/README.md", "Markdown", 0, 0, 0, 10, 0, 7, 17
"/Users/hadihammoud/development/flutter projects/dog_pal/ios/.symlinks/plugins/flutter_keyboard_visibility/.idea/runConfigurations/demo_with_provider.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"/Users/hadihammoud/development/flutter projects/dog_pal/ios/.symlinks/plugins/flutter_keyboard_visibility/.idea/runConfigurations/example.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"/Users/hadihammoud/development/flutter projects/dog_pal/ios/.symlinks/plugins/flutter_keyboard_visibility/.idea/runConfigurations/example_old.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/auth_service.dart", "Dart", 0, 0, 67, 0, 1, 30, 98
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/add_adoption_dog_bloc.dart", "Dart", 0, 0, 111, 0, 1, 23, 135
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/add_lost_dog_bloc.dart", "Dart", 0, 0, 99, 0, 1, 23, 123
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/add_mate_dog_bloc.dart", "Dart", 0, 0, 101, 0, 1, 22, 124
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/app_bloc.dart", "Dart", 0, 0, 56, 0, 3, 16, 75
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/auth_bloc.dart", "Dart", 0, 0, 132, 0, 5, 31, 168
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/decisions_bloc.dart", "Dart", 0, 0, 94, 0, 1, 20, 115
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/dog_posts_bloc.dart", "Dart", 0, 0, 425, 0, 10, 81, 516
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/post_details_bloc.dart", "Dart", 0, 0, 60, 0, 1, 13, 74
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/post_location_bloc.dart", "Dart", 0, 0, 147, 0, 0, 28, 175
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/profile_bloc.dart", "Dart", 0, 0, 315, 0, 11, 52, 378
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/main.dart", "Dart", 0, 0, 45, 0, 3, 5, 53
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/adopt_post.dart", "Dart", 0, 0, 102, 0, 0, 13, 115
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/dog.dart", "Dart", 0, 0, 90, 0, 0, 23, 113
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/dog_post_mode.dart", "Dart", 0, 0, 13, 0, 0, 10, 23
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/favorite_post.dart", "Dart", 0, 0, 18, 0, 0, 5, 23
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/location_data.dart", "Dart", 0, 0, 28, 0, 0, 4, 32
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/lost_post.dart", "Dart", 0, 0, 82, 0, 0, 13, 95
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/mate_post.dart", "Dart", 0, 0, 90, 0, 0, 14, 104
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/user.dart", "Dart", 0, 0, 50, 0, 0, 7, 57
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/navigators/app_navigator.dart", "Dart", 0, 0, 87, 0, 0, 8, 95
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/navigators/dogs_screen_navigator.dart", "Dart", 0, 0, 131, 0, 0, 14, 145
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/navigators/profile_navigator.dart", "Dart", 0, 0, 96, 0, 0, 13, 109
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/repo/adopt_repo.dart", "Dart", 0, 0, 78, 0, 0, 11, 89
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/repo/lost_repo.dart", "Dart", 0, 0, 53, 0, 0, 11, 64
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/repo/mate_repo.dart", "Dart", 0, 0, 65, 0, 0, 10, 75
