"filename", "language", "YAML", "Dart", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/dog_pal/README.md", "Markdown", 0, 0, 10, 0, 7, 17
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/auth_service.dart", "Dart", 0, 67, 0, 1, 30, 98
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/add_adoption_dog_bloc.dart", "Dart", 0, 113, 0, 1, 24, 138
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/add_lost_dog_bloc.dart", "Dart", 0, 102, 0, 1, 24, 127
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/add_mate_dog.dart", "Dart", 0, 219, 0, 2, 13, 234
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/add_mate_dog_bloc.dart", "Dart", 0, 105, 0, 1, 23, 129
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/adopt_bloc.dart", "Dart", 0, 149, 0, 0, 23, 172
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/app_bloc.dart", "Dart", 0, 19, 0, 1, 9, 29
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/auth_bloc.dart", "Dart", 0, 137, 0, 5, 33, 175
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/decisions_bloc.dart", "Dart", 0, 135, 0, 0, 26, 161
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/dog_posts_bloc.dart", "Dart", 0, 169, 0, 6, 41, 216
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/lost_bloc.dart", "Dart", 0, 123, 0, 1, 21, 145
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/mate_bloc.dart", "Dart", 0, 126, 0, 1, 23, 150
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/post_location_bloc.dart", "Dart", 0, 120, 0, 0, 23, 143
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/bloc/profile_bloc.dart", "Dart", 0, 323, 0, 12, 54, 389
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/main.dart", "Dart", 0, 118, 0, 3, 4, 125
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/adopt_post.dart", "Dart", 0, 102, 0, 0, 13, 115
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/dog.dart", "Dart", 0, 90, 0, 0, 23, 113
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/dog_post_mode.dart", "Dart", 0, 18, 0, 0, 11, 29
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/favorite_post.dart", "Dart", 0, 18, 0, 0, 5, 23
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/location_data.dart", "Dart", 0, 56, 0, 9, 10, 75
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/lost_post.dart", "Dart", 0, 82, 0, 0, 13, 95
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/mate_post.dart", "Dart", 0, 90, 0, 0, 14, 104
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/models/user.dart", "Dart", 0, 50, 0, 0, 7, 57
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/navigators/adopt_navigator.dart", "Dart", 0, 52, 0, 0, 7, 59
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/navigators/lost_navigator.dart", "Dart", 0, 50, 0, 0, 7, 57
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/navigators/mate_navigator.dart", "Dart", 0, 53, 0, 0, 8, 61
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/navigators/profile_navigator.dart", "Dart", 0, 68, 0, 0, 12, 80
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/repo/adopt_repo.dart", "Dart", 0, 78, 0, 0, 11, 89
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/repo/lost_repo.dart", "Dart", 0, 53, 0, 0, 11, 64
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/repo/mate_repo.dart", "Dart", 0, 65, 0, 0, 10, 75
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/adopt/add_adoption_post.dart", "Dart", 0, 256, 0, 1, 8, 265
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/adopt/adoption_dog_details.dart", "Dart", 0, 276, 0, 0, 16, 292
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/adopt/adoption_dogs_list.dart", "Dart", 0, 174, 0, 0, 10, 184
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/dogs_screen.dart", "Dart", 0, 272, 0, 1, 31, 304
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/filter_pages.dart", "Dart", 0, 232, 0, 0, 8, 240
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/full_screen_image.dart", "Dart", 0, 243, 0, 0, 21, 264
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/home.dart", "Dart", 0, 312, 0, 3, 39, 354
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/login.dart", "Dart", 0, 302, 0, 3, 25, 330
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/lost/add_lost_dog.dart", "Dart", 0, 190, 0, 1, 12, 203
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/lost/lost_dog_details_screen.dart", "Dart", 0, 359, 0, 1, 20, 380
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/lost/lost_dogs_list.dart", "Dart", 0, 205, 0, 0, 11, 216
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/mate/add_mate_dog.dart", "Dart", 0, 0, 0, 0, 1, 1
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/mate/mate_details_screen.dart", "Dart", 0, 135, 0, 0, 8, 143
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/mate/mate_list.dart", "Dart", 0, 212, 0, 0, 8, 220
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/mate/mate_warning.dart", "Dart", 0, 107, 0, 0, 5, 112
"/Users/hadihammoud/development/flutter projects/dog_pal/lib/screens/post_location.dart", "Dart", 0, 223, 0, 0, 15, 238
